Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Accident_History,Fuel_Efficiency,Need_Maintenance,Warranty_Status,Days_To_Expiry,Age_Group,Service_Month
Truck,58765,Good,0,4,Electric,28524,2023-11-23,2025-06-24,Second,3,13.622203799218738,1,Expired,-271,3-5 yrs,2023-11
Van,60353,Average,1,7,Electric,133630,2023-09-21,2025-06-04,Second,0,13.625306851087116,1,Expired,-291,5-8 yrs,2023-09
Bus,68072,Poor,0,2,Electric,34022,2023-06-27,2025-04-27,First,0,14.306302358933324,1,Expired,-329,1-2 yrs,2023-06
Bus,60849,Average,4,5,Petrol,81636,2023-08-24,2025-11-05,Second,3,18.70946666159111,1,Expired,-137,3-5 yrs,2023-08
Bus,45742,Poor,5,1,Petrol,97162,2023-05-25,2025-09-14,Third,2,16.977482496741302,1,Expired,-189,Under 1 yr,2023-05
Truck,31653,Average,2,1,Diesel,70954,2023-08-12,2024-09-05,Third,3,15.954422058940413,0,Expired,-563,Under 1 yr,2023-08
Motorcycle,51211,Average,2,8,Diesel,145563,2024-01-13,2025-07-20,Second,0,16.455703179594124,0,Expired,-245,5-8 yrs,2024-01
Van,79093,Poor,2,2,Petrol,132354,2023-05-12,2026-02-13,First,1,12.128403743453015,1,Expired,-37,1-2 yrs,2023-05
Suv,59673,Good,2,6,Electric,85733,2023-04-07,2025-04-21,First,1,11.558026772712031,1,Expired,-335,5-8 yrs,2023-04
Bus,37001,Good,2,9,Diesel,8554,2023-08-05,2025-05-14,Third,1,12.78724817721793,0,Expired,-312,Over 8 yrs,2023-08
Bus,49494,Average,5,10,Electric,51817,2023-11-08,2024-10-31,Third,1,15.544371498504372,1,Expired,-507,Over 8 yrs,2023-11
Car,71128,Poor,3,4,Petrol,35751,2023-07-03,2025-01-23,First,1,16.38821978073295,1,Expired,-423,3-5 yrs,2023-07
Bus,61711,Poor,4,8,Petrol,118508,2024-02-19,2025-09-17,Third,0,13.925943354074256,1,Expired,-186,5-8 yrs,2024-02
Car,37517,Good,4,3,Petrol,64195,2023-04-11,2025-04-27,Third,1,11.613510563693447,1,Expired,-329,2-3 yrs,2023-04
Car,51152,Poor,5,6,Diesel,36403,2023-05-07,2025-05-20,Second,2,16.33998023040846,1,Expired,-306,5-8 yrs,2023-05
Suv,61396,Poor,5,1,Petrol,80856,2023-09-17,2025-10-03,Third,3,10.072711963951075,1,Expired,-170,Under 1 yr,2023-09
Bus,64440,Poor,0,7,Diesel,6493,2023-11-24,2024-10-07,First,3,13.736122939922982,0,Expired,-531,5-8 yrs,2023-11
Motorcycle,37956,Average,0,3,Electric,143432,2023-09-23,2025-08-11,Second,3,10.00713008268694,0,Expired,-223,2-3 yrs,2023-09
Bus,44751,Poor,3,3,Diesel,7755,2024-01-23,2026-01-24,Second,1,16.24308027793596,1,Expired,-57,2-3 yrs,2024-01
Bus,41951,Good,1,7,Petrol,104771,2023-06-15,2024-09-23,Third,1,15.679092424869827,1,Expired,-545,5-8 yrs,2023-06
Motorcycle,45495,Poor,1,6,Diesel,88476,2023-11-24,2026-02-03,Second,2,17.481080313313978,1,Expired,-47,5-8 yrs,2023-11
Suv,63280,Average,3,2,Diesel,28975,2023-07-14,2024-05-01,First,0,10.73770289647689,1,Expired,-690,1-2 yrs,2023-07
Motorcycle,79936,Average,0,10,Electric,15052,2023-04-30,2025-10-12,First,3,16.22524022193386,1,Expired,-161,Over 8 yrs,2023-04
Bus,74528,Poor,1,7,Electric,108851,2023-06-12,2025-08-19,Second,1,13.427150415825206,0,Expired,-215,5-8 yrs,2023-06
Car,34005,Poor,0,2,Diesel,71423,2023-12-10,2024-06-22,Second,3,13.85904926087158,1,Expired,-638,1-2 yrs,2023-12
Car,49957,Good,5,7,Electric,42971,2023-10-25,2025-11-20,Third,2,17.03695635141876,1,Expired,-122,5-8 yrs,2023-10
Motorcycle,36652,Good,5,9,Electric,88775,2023-10-27,2025-02-17,Second,0,19.18580254211249,1,Expired,-398,Over 8 yrs,2023-10
Motorcycle,49616,Good,4,2,Electric,77128,2023-05-22,2025-12-08,Second,1,19.336317068716767,1,Expired,-104,1-2 yrs,2023-05
Suv,65381,Poor,1,8,Petrol,141901,2023-12-22,2024-11-27,Second,2,11.276520705576068,0,Expired,-480,5-8 yrs,2023-12
Suv,67982,Good,5,7,Diesel,149954,2023-09-04,2025-12-04,Third,2,19.82641607671126,1,Expired,-108,5-8 yrs,2023-09
Motorcycle,33189,Average,1,3,Petrol,148440,2024-01-09,2025-05-23,First,1,15.154138817394893,1,Expired,-303,2-3 yrs,2024-01
Suv,33202,Poor,4,8,Petrol,12518,2023-06-29,2024-04-30,First,3,11.91281596163386,1,Expired,-691,5-8 yrs,2023-06
Motorcycle,32700,Good,5,4,Petrol,87800,2023-11-19,2025-12-17,Third,0,16.880977682821314,1,Expired,-95,3-5 yrs,2023-11
Truck,37777,Poor,4,5,Electric,127740,2023-08-19,2024-05-22,Second,3,17.21332782259839,1,Expired,-669,3-5 yrs,2023-08
Suv,66067,Good,1,9,Diesel,51222,2023-06-07,2024-12-25,First,1,14.046529451554871,0,Expired,-452,Over 8 yrs,2023-06
